resume,job_description,role,matched_skills,label,match_level
"Candidate applying for Data Scientist.

Education:
Master's degree in Artificial Intelligence

Experience:
2 years experience

Technical Skills:
Scikit-learn, TensorFlow, Machine Learning, Python, SQL, Statistics, NumPy

Soft Skills:
Teamwork, Communication

Completed several projects related to Data Scientist.","We are hiring a Web Developer.

Required Skills:
Git, CSS, React, REST API, HTML, Bootstrap, Express

Preferred Soft Skills:
Communication, Problem Solving

The candidate should work on real-world projects and collaborate
with team members.",Data Scientist,,0,Weak Match
"Candidate applying for Software Engineer.

Education:
Master's degree in Artificial Intelligence

Experience:
1 year experience

Technical Skills:
Data Structures, OOP, Debugging, REST API, Python, Git, Testing

Soft Skills:
Teamwork, Time Management

Completed several projects related to Software Engineer.","We are hiring a Software Engineer.

Required Skills:
Data Structures, OOP, Debugging, REST API, Python, Git, Testing

Preferred Soft Skills:
Problem Solving, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Software Engineer,"Data Structures, OOP, Debugging, REST API, Python, Git, Testing",2,Strong Match
"Candidate applying for Cloud Engineer.

Education:
Bachelor's degree in Information Technology

Experience:
3 years experience

Technical Skills:
AWS, CI/CD, DevOps, Linux, Python

Soft Skills:
Time Management, Critical Thinking

Completed several projects related to Cloud Engineer.","We are hiring a Cloud Engineer.

Required Skills:
AWS, CI/CD, DevOps, Linux, Azure, Kubernetes, Networking

Preferred Soft Skills:
Teamwork, Communication

The candidate should work on real-world projects and collaborate
with team members.",Cloud Engineer,"AWS, CI/CD, DevOps, Linux",1,Medium Match
"Candidate applying for Cybersecurity Analyst.

Education:
Bachelor's degree in Computational Statistics and Data Analytics

Experience:
6 months internship

Technical Skills:
Incident Response, Network Security, Risk Assessment, Cryptography, SIEM

Soft Skills:
Analytical Thinking, Problem Solving

Completed several projects related to Cybersecurity Analyst.","We are hiring a Cybersecurity Analyst.

Required Skills:
Incident Response, Network Security, Risk Assessment, Cryptography, SIEM, Penetration Testing, Ethical Hacking

Preferred Soft Skills:
Leadership, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",Cybersecurity Analyst,"Incident Response, Network Security, Risk Assessment, Cryptography",1,Medium Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Computer Science

Experience:
2 years experience

Technical Skills:
Data Cleaning, Power BI, Excel, Business Intelligence, Statistics, SQL, Python

Soft Skills:
Leadership, Analytical Thinking

Completed several projects related to Data Analyst.","We are hiring a AI Engineer.

Required Skills:
Python, TensorFlow, Deep Learning, NLP, Computer Vision, PyTorch, LLM

Preferred Soft Skills:
Analytical Thinking, Communication

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,,0,Weak Match
"Candidate applying for Cybersecurity Analyst.

Education:
Bachelor's degree in Computer Science

Experience:
3 years experience

Technical Skills:
Incident Response, Cryptography, Ethical Hacking, Linux, SIEM

Soft Skills:
Teamwork, Communication

Completed several projects related to Cybersecurity Analyst.","We are hiring a Cybersecurity Analyst.

Required Skills:
Incident Response, Cryptography, Ethical Hacking, Linux, Risk Assessment, SIEM, Firewall

Preferred Soft Skills:
Time Management, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Cybersecurity Analyst,"Incident Response, Cryptography, Ethical Hacking, Linux",1,Medium Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Engineering

Experience:
Fresher

Technical Skills:
Express, Git, CSS, Node.js, Bootstrap

Soft Skills:
Teamwork, Leadership

Completed several projects related to Web Developer.","We are hiring a Web Developer.

Required Skills:
Express, Git, CSS, Node.js, Bootstrap, HTML, REST API

Preferred Soft Skills:
Analytical Thinking, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,"Express, Git, CSS, Node.js",1,Medium Match
"Candidate applying for Software Engineer.

Education:
Master's degree in Artificial Intelligence

Experience:
1 year experience

Technical Skills:
Debugging, REST API, OOP, Algorithms, C++

Soft Skills:
Time Management, Communication

Completed several projects related to Software Engineer.","We are hiring a Software Engineer.

Required Skills:
Debugging, REST API, OOP, Algorithms, Data Structures, Git, C++

Preferred Soft Skills:
Teamwork, Communication

The candidate should work on real-world projects and collaborate
with team members.",Software Engineer,"Debugging, REST API, OOP, Algorithms",1,Medium Match
"Candidate applying for Cybersecurity Analyst.

Education:
Bachelor's degree in Computational Statistics and Data Analytics

Experience:
6 months internship

Technical Skills:
SIEM, Ethical Hacking, Firewall, Python, Network Security

Soft Skills:
Communication, Leadership

Completed several projects related to Cybersecurity Analyst.","We are hiring a Cybersecurity Analyst.

Required Skills:
SIEM, Ethical Hacking, Firewall, Python, Penetration Testing, Linux, Cryptography

Preferred Soft Skills:
Problem Solving, Leadership

The candidate should work on real-world projects and collaborate
with team members.",Cybersecurity Analyst,"SIEM, Ethical Hacking, Firewall, Python",1,Medium Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Computer Science

Experience:
Fresher

Technical Skills:
JavaScript, HTML, Express, REST API, CSS

Soft Skills:
Communication, Time Management

Completed several projects related to Web Developer.","We are hiring a Web Developer.

Required Skills:
JavaScript, HTML, Express, REST API, React, Git, CSS

Preferred Soft Skills:
Time Management, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,"JavaScript, HTML, Express, REST API",1,Medium Match
"Candidate applying for Software Engineer.

Education:
Bachelor's degree in Information Technology

Experience:
1 year experience

Technical Skills:
C++, Algorithms, OOP, Testing, Java, Data Structures, Git

Soft Skills:
Communication, Leadership

Completed several projects related to Software Engineer.","We are hiring a Web Developer.

Required Skills:
REST API, CSS, Git, Node.js, Bootstrap, MongoDB, JavaScript

Preferred Soft Skills:
Problem Solving, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Software Engineer,,0,Weak Match
"Candidate applying for Cybersecurity Analyst.

Education:
Master's degree in Artificial Intelligence

Experience:
2 years experience

Technical Skills:
Linux, Risk Assessment, Ethical Hacking, Incident Response, Python, Penetration Testing, SIEM

Soft Skills:
Communication, Critical Thinking

Completed several projects related to Cybersecurity Analyst.","We are hiring a Cloud Engineer.

Required Skills:
AWS, Terraform, Linux, Networking, DevOps, Kubernetes, Azure

Preferred Soft Skills:
Analytical Thinking, Leadership

The candidate should work on real-world projects and collaborate
with team members.",Cybersecurity Analyst,,0,Weak Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Computational Statistics and Data Analytics

Experience:
6 months internship

Technical Skills:
HTML, Node.js, JavaScript, Bootstrap, Express, MongoDB, React

Soft Skills:
Problem Solving, Time Management

Completed several projects related to Web Developer.","We are hiring a Cybersecurity Analyst.

Required Skills:
Penetration Testing, Linux, Python, Firewall, Risk Assessment, Incident Response, Ethical Hacking

Preferred Soft Skills:
Teamwork, Communication

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,,0,Weak Match
"Candidate applying for Cloud Engineer.

Education:
Bachelor's degree in Engineering

Experience:
Fresher

Technical Skills:
DevOps, Python, Kubernetes, AWS, Terraform, Networking, Docker

Soft Skills:
Analytical Thinking, Communication

Completed several projects related to Cloud Engineer.","We are hiring a Cloud Engineer.

Required Skills:
DevOps, Python, Kubernetes, AWS, Terraform, Networking, Docker

Preferred Soft Skills:
Analytical Thinking, Leadership

The candidate should work on real-world projects and collaborate
with team members.",Cloud Engineer,"DevOps, Python, Kubernetes, AWS, Terraform, Networking, Docker",2,Strong Match
"Candidate applying for Data Analyst.

Education:
Master's degree in Artificial Intelligence

Experience:
1 year experience

Technical Skills:
Data Cleaning, Tableau, Excel, Python, Statistics, Power BI, SQL

Soft Skills:
Problem Solving, Analytical Thinking

Completed several projects related to Data Analyst.","We are hiring a Data Analyst.

Required Skills:
Data Cleaning, Tableau, Excel, Python, Statistics, Power BI, SQL

Preferred Soft Skills:
Critical Thinking, Time Management

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,"Data Cleaning, Tableau, Excel, Python, Statistics, Power BI, SQL",2,Strong Match
"Candidate applying for AI Engineer.

Education:
Bachelor's degree in Information Technology

Experience:
2 years experience

Technical Skills:
NLP, Python, TensorFlow, Docker, LLM

Soft Skills:
Analytical Thinking, Teamwork

Completed several projects related to AI Engineer.","We are hiring a AI Engineer.

Required Skills:
NLP, Python, TensorFlow, Docker, LLM, Computer Vision, Deep Learning

Preferred Soft Skills:
Critical Thinking, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",AI Engineer,"NLP, Python, TensorFlow, Docker",1,Medium Match
"Candidate applying for Data Scientist.

Education:
Bachelor's degree in Engineering

Experience:
2 years experience

Technical Skills:
Python, Data Visualization, Pandas, Statistics, SQL, Machine Learning, NumPy

Soft Skills:
Time Management, Critical Thinking

Completed several projects related to Data Scientist.","We are hiring a Software Engineer.

Required Skills:
Git, Python, C++, REST API, Debugging, OOP, Data Structures

Preferred Soft Skills:
Communication, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",Data Scientist,,0,Weak Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Computational Statistics and Data Analytics

Experience:
6 months internship

Technical Skills:
Pandas, SQL, Python, Tableau, Business Intelligence, Data Cleaning, Reporting

Soft Skills:
Teamwork, Time Management

Completed several projects related to Data Analyst.","We are hiring a Data Analyst.

Required Skills:
Pandas, SQL, Python, Tableau, Business Intelligence, Data Cleaning, Reporting

Preferred Soft Skills:
Analytical Thinking, Problem Solving

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,"Pandas, SQL, Python, Tableau, Business Intelligence, Data Cleaning, Reporting",2,Strong Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Data Science

Experience:
3 years experience

Technical Skills:
HTML, Git, JavaScript, Node.js, MongoDB, React, Bootstrap

Soft Skills:
Teamwork, Communication

Completed several projects related to Web Developer.","We are hiring a Web Developer.

Required Skills:
HTML, Git, JavaScript, Node.js, MongoDB, React, Bootstrap

Preferred Soft Skills:
Analytical Thinking, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,"HTML, Git, JavaScript, Node.js, MongoDB, React, Bootstrap",2,Strong Match
"Candidate applying for Software Engineer.

Education:
Bachelor's degree in Computational Statistics and Data Analytics

Experience:
6 months internship

Technical Skills:
C++, Data Structures, OOP, Python, REST API, Java, Git

Soft Skills:
Communication, Teamwork

Completed several projects related to Software Engineer.","We are hiring a Software Engineer.

Required Skills:
C++, Data Structures, OOP, Python, REST API, Java, Git

Preferred Soft Skills:
Communication, Leadership

The candidate should work on real-world projects and collaborate
with team members.",Software Engineer,"C++, Data Structures, OOP, Python, REST API, Java, Git",2,Strong Match
"Candidate applying for Cloud Engineer.

Education:
Bachelor's degree in Information Technology

Experience:
2 years experience

Technical Skills:
Docker, Azure, Kubernetes, CI/CD, Python

Soft Skills:
Time Management, Critical Thinking

Completed several projects related to Cloud Engineer.","We are hiring a Cloud Engineer.

Required Skills:
Docker, Azure, Kubernetes, CI/CD, DevOps, Networking, Terraform

Preferred Soft Skills:
Communication, Problem Solving

The candidate should work on real-world projects and collaborate
with team members.",Cloud Engineer,"Docker, Azure, Kubernetes, CI/CD",1,Medium Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Computational Statistics and Data Analytics

Experience:
Fresher

Technical Skills:
SQL, Statistics, Business Intelligence, Reporting, Python, Excel, Tableau

Soft Skills:
Analytical Thinking, Problem Solving

Completed several projects related to Data Analyst.","We are hiring a Data Analyst.

Required Skills:
SQL, Statistics, Business Intelligence, Reporting, Python, Excel, Tableau

Preferred Soft Skills:
Time Management, Communication

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,"SQL, Statistics, Business Intelligence, Reporting, Python, Excel, Tableau",2,Strong Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Engineering

Experience:
Fresher

Technical Skills:
CSS, Node.js, Bootstrap, React, JavaScript, MongoDB, HTML

Soft Skills:
Teamwork, Analytical Thinking

Completed several projects related to Web Developer.","We are hiring a Data Analyst.

Required Skills:
Power BI, Data Cleaning, Tableau, Reporting, SQL, Pandas, Excel

Preferred Soft Skills:
Teamwork, Problem Solving

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,,0,Weak Match
"Candidate applying for Cybersecurity Analyst.

Education:
Bachelor's degree in Computational Statistics and Data Analytics

Experience:
Fresher

Technical Skills:
Risk Assessment, SIEM, Network Security, Cryptography, Incident Response

Soft Skills:
Problem Solving, Communication

Completed several projects related to Cybersecurity Analyst.","We are hiring a Cybersecurity Analyst.

Required Skills:
Risk Assessment, SIEM, Network Security, Cryptography, Python, Ethical Hacking, Penetration Testing

Preferred Soft Skills:
Critical Thinking, Time Management

The candidate should work on real-world projects and collaborate
with team members.",Cybersecurity Analyst,"Risk Assessment, SIEM, Network Security, Cryptography",1,Medium Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Information Technology

Experience:
2 years experience

Technical Skills:
Pandas, Business Intelligence, Tableau, Reporting, SQL, Excel, Python

Soft Skills:
Critical Thinking, Leadership

Completed several projects related to Data Analyst.","We are hiring a Data Analyst.

Required Skills:
Pandas, Business Intelligence, Tableau, Reporting, SQL, Excel, Python

Preferred Soft Skills:
Problem Solving, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,"Pandas, Business Intelligence, Tableau, Reporting, SQL, Excel, Python",2,Strong Match
"Candidate applying for Software Engineer.

Education:
Bachelor's degree in Computer Science

Experience:
Fresher

Technical Skills:
Python, Git, C++, REST API, Data Structures, Testing, Algorithms

Soft Skills:
Critical Thinking, Teamwork

Completed several projects related to Software Engineer.","We are hiring a Data Scientist.

Required Skills:
Pandas, Deep Learning, TensorFlow, Machine Learning, Python, Statistics, NumPy

Preferred Soft Skills:
Critical Thinking, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",Software Engineer,,0,Weak Match
"Candidate applying for AI Engineer.

Education:
Bachelor's degree in Computer Science

Experience:
3 years experience

Technical Skills:
LLM, Python, TensorFlow, Deep Learning, Transformers

Soft Skills:
Teamwork, Analytical Thinking

Completed several projects related to AI Engineer.","We are hiring a AI Engineer.

Required Skills:
LLM, Python, TensorFlow, Deep Learning, NLP, Computer Vision, PyTorch

Preferred Soft Skills:
Communication, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",AI Engineer,"LLM, Python, TensorFlow, Deep Learning",1,Medium Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Computer Science

Experience:
6 months internship

Technical Skills:
Data Cleaning, Tableau, Statistics, Excel, Pandas, Python, Business Intelligence

Soft Skills:
Analytical Thinking, Teamwork

Completed several projects related to Data Analyst.","We are hiring a Web Developer.

Required Skills:
Node.js, Bootstrap, REST API, CSS, JavaScript, HTML, MongoDB

Preferred Soft Skills:
Problem Solving, Communication

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,,0,Weak Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Information Technology

Experience:
1 year experience

Technical Skills:
Power BI, Python, Data Cleaning, SQL, Excel, Statistics, Pandas

Soft Skills:
Time Management, Teamwork

Completed several projects related to Data Analyst.","We are hiring a Data Analyst.

Required Skills:
Power BI, Python, Data Cleaning, SQL, Excel, Statistics, Pandas

Preferred Soft Skills:
Problem Solving, Time Management

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,"Power BI, Python, Data Cleaning, SQL, Excel, Statistics, Pandas",2,Strong Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Engineering

Experience:
6 months internship

Technical Skills:
Pandas, Excel, SQL, Power BI, Statistics, Reporting, Tableau

Soft Skills:
Time Management, Critical Thinking

Completed several projects related to Data Analyst.","We are hiring a Data Scientist.

Required Skills:
SQL, Statistics, Data Visualization, Machine Learning, TensorFlow, Pandas, Scikit-learn

Preferred Soft Skills:
Analytical Thinking, Leadership

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,,0,Weak Match
"Candidate applying for Data Scientist.

Education:
Bachelor's degree in Data Science

Experience:
1 year experience

Technical Skills:
SQL, Deep Learning, NumPy, Python, Statistics

Soft Skills:
Teamwork, Problem Solving

Completed several projects related to Data Scientist.","We are hiring a Data Scientist.

Required Skills:
SQL, Deep Learning, NumPy, Python, Scikit-learn, Data Visualization, TensorFlow

Preferred Soft Skills:
Teamwork, Leadership

The candidate should work on real-world projects and collaborate
with team members.",Data Scientist,"SQL, Deep Learning, NumPy, Python",1,Medium Match
"Candidate applying for Cloud Engineer.

Education:
Bachelor's degree in Engineering

Experience:
6 months internship

Technical Skills:
Terraform, CI/CD, DevOps, Networking, Docker

Soft Skills:
Critical Thinking, Leadership

Completed several projects related to Cloud Engineer.","We are hiring a Cloud Engineer.

Required Skills:
Terraform, CI/CD, DevOps, Networking, Azure, Docker, AWS

Preferred Soft Skills:
Communication, Problem Solving

The candidate should work on real-world projects and collaborate
with team members.",Cloud Engineer,"Terraform, CI/CD, DevOps, Networking",1,Medium Match
"Candidate applying for Software Engineer.

Education:
Bachelor's degree in Engineering

Experience:
2 years experience

Technical Skills:
REST API, Python, Data Structures, Git, Java, Testing, Debugging

Soft Skills:
Communication, Time Management

Completed several projects related to Software Engineer.","We are hiring a Cloud Engineer.

Required Skills:
Docker, AWS, Kubernetes, DevOps, Terraform, Linux, Azure

Preferred Soft Skills:
Analytical Thinking, Problem Solving

The candidate should work on real-world projects and collaborate
with team members.",Software Engineer,,0,Weak Match
"Candidate applying for Cloud Engineer.

Education:
Bachelor's degree in Engineering

Experience:
6 months internship

Technical Skills:
DevOps, AWS, Linux, Terraform, CI/CD, Networking, Kubernetes

Soft Skills:
Critical Thinking, Problem Solving

Completed several projects related to Cloud Engineer.","We are hiring a Cloud Engineer.

Required Skills:
DevOps, AWS, Linux, Terraform, CI/CD, Networking, Kubernetes

Preferred Soft Skills:
Communication, Problem Solving

The candidate should work on real-world projects and collaborate
with team members.",Cloud Engineer,"DevOps, AWS, Linux, Terraform, CI/CD, Networking, Kubernetes",2,Strong Match
"Candidate applying for Cloud Engineer.

Education:
Bachelor's degree in Computer Science

Experience:
3 years experience

Technical Skills:
Networking, Linux, Docker, CI/CD, Terraform, Kubernetes, DevOps

Soft Skills:
Critical Thinking, Teamwork

Completed several projects related to Cloud Engineer.","We are hiring a Web Developer.

Required Skills:
JavaScript, CSS, REST API, Git, Bootstrap, React, Express

Preferred Soft Skills:
Communication, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Cloud Engineer,,0,Weak Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Computer Science

Experience:
3 years experience

Technical Skills:
Express, REST API, CSS, MongoDB, React

Soft Skills:
Teamwork, Critical Thinking

Completed several projects related to Web Developer.","We are hiring a Web Developer.

Required Skills:
Express, REST API, CSS, MongoDB, Git, Node.js, React

Preferred Soft Skills:
Time Management, Critical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,"Express, REST API, CSS, MongoDB",1,Medium Match
"Candidate applying for Data Scientist.

Education:
Master's degree in Artificial Intelligence

Experience:
2 years experience

Technical Skills:
Python, NumPy, Pandas, Statistics, Machine Learning

Soft Skills:
Teamwork, Analytical Thinking

Completed several projects related to Data Scientist.","We are hiring a Data Scientist.

Required Skills:
Python, NumPy, Pandas, Statistics, Data Visualization, Machine Learning, Deep Learning

Preferred Soft Skills:
Teamwork, Leadership

The candidate should work on real-world projects and collaborate
with team members.",Data Scientist,"Python, NumPy, Pandas, Statistics",1,Medium Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Computer Science

Experience:
6 months internship

Technical Skills:
Python, SQL, Reporting, Data Cleaning, Excel, Statistics, Pandas

Soft Skills:
Communication, Time Management

Completed several projects related to Data Analyst.","We are hiring a Data Analyst.

Required Skills:
Python, SQL, Reporting, Data Cleaning, Excel, Statistics, Pandas

Preferred Soft Skills:
Time Management, Teamwork

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,"Python, SQL, Reporting, Data Cleaning, Excel, Statistics, Pandas",2,Strong Match
"Candidate applying for Data Scientist.

Education:
Bachelor's degree in Data Science

Experience:
3 years experience

Technical Skills:
Statistics, SQL, Machine Learning, TensorFlow, NumPy, Pandas, Deep Learning

Soft Skills:
Communication, Critical Thinking

Completed several projects related to Data Scientist.","We are hiring a Software Engineer.

Required Skills:
OOP, Java, REST API, Debugging, Git, Testing, Data Structures

Preferred Soft Skills:
Leadership, Analytical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Data Scientist,,0,Weak Match
"Candidate applying for Web Developer.

Education:
Bachelor's degree in Data Science

Experience:
Fresher

Technical Skills:
MongoDB, React, Bootstrap, REST API, HTML

Soft Skills:
Leadership, Communication

Completed several projects related to Web Developer.","We are hiring a Web Developer.

Required Skills:
MongoDB, React, Bootstrap, REST API, Node.js, CSS, Express

Preferred Soft Skills:
Critical Thinking, Leadership

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,"MongoDB, React, Bootstrap, REST API",1,Medium Match
"Candidate applying for Data Analyst.

Education:
Bachelor's degree in Engineering

Experience:
3 years experience

Technical Skills:
Data Cleaning, Statistics, Excel, Reporting, Power BI, Tableau, Business Intelligence

Soft Skills:
Leadership, Analytical Thinking

Completed several projects related to Data Analyst.","We are hiring a Software Engineer.

Required Skills:
C++, Algorithms, Java, Debugging, Git, Testing, Data Structures

Preferred Soft Skills:
Problem Solving, Time Management

The candidate should work on real-world projects and collaborate
with team members.",Data Analyst,,0,Weak Match
"Candidate applying for Cloud Engineer.

Education:
Bachelor's degree in Engineering

Experience:
6 months internship

Technical Skills:
Docker, CI/CD, Azure, DevOps, Networking, Python, AWS

Soft Skills:
Communication, Critical Thinking

Completed several projects related to Cloud Engineer.","We are hiring a Cloud Engineer.

Required Skills:
Docker, CI/CD, Azure, DevOps, Networking, Python, AWS

Preferred Soft Skills:
Time Management, Problem Solving

The candidate should work on real-world projects and collaborate
with team members.",Cloud Engineer,"Docker, CI/CD, Azure, DevOps, Networking, Python, AWS",2,Strong Match
"Candidate applying for Web Developer.

Education:
Master's degree in Artificial Intelligence

Experience:
2 years experience

Technical Skills:
Express, Bootstrap, Node.js, REST API, React, JavaScript, CSS

Soft Skills:
Problem Solving, Time Management

Completed several projects related to Web Developer.","We are hiring a Web Developer.

Required Skills:
Express, Bootstrap, Node.js, REST API, React, JavaScript, CSS

Preferred Soft Skills:
Critical Thinking, Analytical Thinking

The candidate should work on real-world projects and collaborate
with team members.",Web Developer,"Express, Bootstrap, Node.js, REST API, React, JavaScript, CSS",2,Strong Match
